Version,Grade,Unit,Lesson,TG Page,Item,Depth of Knowledge (DOK),,,,
FLC,1,1,3,70,4,1,,,,
FLC,1,1,3,70,5,2,,,,
FLC,1,1,3,73,1,1,,,,
FLC,1,1,3,73,2,2,,,,
FLC,1,1,3,73,3,2,,,,
FLC,1,1,3,73,4,1,,,,
FLC,1,1,3,73,5,2,,,,
FLC,1,1,3,74a,1,1,,,,
FLC,1,1,3,74a,2,2,,,,
FLC,1,1,3,74a,3,1,,,,
FLC,1,1,3,74b,4,3,,,,
FLC,1,1,3,74b,5,2,,,,
FLC,1,1,4,90a,1,2,,,,
FLC,1,1,4,90a,2,2,,,,
FLC,1,1,4,90a,3,2,,,,
FLC,1,1,4,90b,4,2,,,,
FLC,1,1,4,90b,5,2,,,,
FLC,1,1,5,109,1,2,,,,
FLC,1,1,5,109,2,2,,,,
FLC,1,1,5,110,3,2,,,,
FLC,1,1,5,110,4,2,,,,
FLC,1,1,5,110,5,1,,,,
FLC,1,1,5,113,1,2,,,,
FLC,1,1,5,113,2,2,,,,
FLC,1,1,5,113,3,2,,,,
FLC,1,1,5,113,4,2,,,,
FLC,1,1,5,113,5,2,,,,
FLC,1,1,5,113,6,2,,,,
FLC,1,1,5,114a,1,2,,,,
FLC,1,1,5,114a,2,2,,,,
FLC,1,1,5,114a,3,2,,,,
FLC,1,1,5,114b,4,2,,,,
FLC,1,1,5,114b,5,2,,,,
FLC,1,1,,114c,1,2,,,,
FLC,1,1,,114c,2,2,,,,
FLC,1,1,,114c,3,2,,,,
FLC,1,1,,114c,4,2,,,,
FLC,1,1,,114d,5,2,,,,
FLC,1,1,,114d,6,1,,,,
FLC,1,1,,114d,7,2,,,,
FLC,1,1,,114d,8,2,,,,
FLC,1,1,,114e,9,1,,,,
FLC,1,1,,114e,10,2,,,,
FLC,1,1,,114e,11,2,,,,
FLC,1,1,,114e,12,3,,,,
FLC,1,1,6,133,1,2,,,,
FLC,1,1,6,133,2,2,,,,
FLC,1,1,6,134,3,2,,,,
FLC,1,1,6,134,4,2,,,,
FLC,1,1,6,137,1,1,,,,
FLC,1,1,6,137,2,1,,,,
FLC,1,1,6,137,3,1,,,,
FLC,1,1,6,137,4,2,,,,
FLC,1,1,6,137,5,2,,,,
FLC,1,1,6,137,6,2,,,,
FLC,1,1,6,138a,1,1,,,,
FLC,1,1,6,138a,2,1,,,,
FLC,1,1,6,138b,3,1,,,,
FLC,1,1,6,138b,4,2,,,,
FLC,1,1,6,138b,5,2,,,,
FLC,1,1,7,157,1,2,,,,
FLC,1,1,7,157,2,2,,,,
FLC,1,1,7,158,3,2,,,,
FLC,1,1,7,158,4,2,,,,
FLC,1,1,7,158,5,2,,,,
FLC,1,1,7,161,1,2,,,,
FLC,1,1,7,161,2,2,,,,
FLC,1,1,7,161,3,2,,,,
FLC,1,1,7,161,4,2,,,,
FLC,1,1,7,161,5,2,,,,
FLC,1,1,7,161,6,2,,,,
FLC,1,1,7,162a,1,2,,,,
FLC,1,1,7,162a,2,2,,,,
FLC,1,1,7,162b,3,2,,,,
FLC,1,1,7,162b,4,2,,,,
FLC,1,1,7,162b,5,2,,,,
FLC,1,1,8,181,1,1,,,,
FLC,1,1,8,181,2,2,,,,
FLC,1,1,8,182,3,2,,,,
FLC,1,1,8,182,4,2,,,,
FLC,1,1,8,182,5,2,,,,
FLC,1,1,8,185,1,2,,,,
FLC,1,1,8,185,2,2,,,,
FLC,1,1,8,185,3,2,,,,
FLC,1,1,8,185,4,2,,,,
FLC,1,1,8,185,5,2,,,,
FLC,1,1,8,186a,1,2,,,,
FLC,1,1,8,186a,2,2,,,,
FLC,1,1,8,186b,3,2,,,,
FLC,1,1,8,186b,4,2,,,,
FLC,1,1,8,186b,5,2,,,,
FLC,1,1,9,202a,1,2,,,,
FLC,1,1,9,202a,2,2,,,,
FLC,1,1,9,202b,3,2,,,,
FLC,1,1,9,202b,4,2,,,,
FLC,1,1,9,202b,5,3,,,,
FLC,1,1,9,221,1,2,,,,
FLC,1,1,9,221,2,2,,,,
FLC,1,1,9,222,3,2,,,,
FLC,1,1,9,222,4,1,,,,
FLC,1,1,10,225,1,2,,,,
FLC,1,1,10,225,2,2,,,,
FLC,1,1,10,225,3,3,,,,
FLC,1,1,10,226,4,3,,,,
FLC,1,1,10,226a,1,2,,,,
FLC,1,1,10,226a,2,2,,,,
FLC,1,1,10,226b,3,1,,,,
FLC,1,1,10,226b,4,2,,,,
FLC,1,1,10,226b,5,3,,,,
FLC,1,1,,228,1,2,,,,
FLC,1,1,,228,2,2,,,,
FLC,1,1,,228,3,2,,,,
FLC,1,1,,228,4,2,,,,
FLC,1,1,,228,5,2,,,,
FLC,1,1,,228,6,2,,,,
FLC,1,1,,229,7,2,,,,
FLC,1,1,,229,8,2,,,,
FLC,1,1,,230b,1,2,,,,
FLC,1,1,,230b,2,2,,,,
FLC,1,1,,230b,3,2,,,,
FLC,1,1,,230b,4,2,,,,
FLC,1,1,,230c,5,2,,,,
FLC,1,1,,230c,6,2,,,,
FLC,1,1,,230c,7,2,,,,
FLC,1,1,,230c,8,2,,,,
FLC,1,1,,230d,9,1,,,,
FLC,1,1,,230d,10,1,,,,
FLC,1,1,,230d,11,3,,,,
FLC,1,2,11,252a,1,2,,,,
FLC,1,2,11,252a,2,2,,,,
FLC,1,2,11,252b,3,2,,,,
FLC,1,2,11,252b,4,2,,,,
FLC,1,2,11,252b,5,2,,,,
FLC,1,2,12,271,1,2,,,,
FLC,1,2,12,271,2,2,,,,
FLC,1,2,12,272,3,2,,,,
FLC,1,2,12,272,4,2,,,,
FLC,1,2,12,272,5,2,,,,
FLC,1,2,12,272,6,2,,,,
FLC,1,2,12,275,1,2,,,,
FLC,1,2,12,275,2,2,,,,
FLC,1,2,12,275,3,2,,,,
FLC,1,2,12,275,4,2,,,,
FLC,1,2,12,275,5,2,,,,
FLC,1,2,12,275,6,2,,,,
FLC,1,2,12,275,7,2,,,,
FLC,1,2,12,276a,1,2,,,,
FLC,1,2,12,276a,2,2,,,,
FLC,1,2,12,276a,3,2,,,,
FLC,1,2,12,276b,4,2,,,,
FLC,1,2,12,276b,5,2,,,,
FLC,1,2,13,295,1,2,,,,
FLC,1,2,13,296,2,2,,,,
FLC,1,2,13,296,3,2,,,,
FLC,1,2,13,296,4,2,,,,
FLC,1,2,13,299,1,2,,,,
FLC,1,2,13,299,2,2,,,,
FLC,1,2,13,299,3,2,,,,
FLC,1,2,13,299,4,2,,,,
FLC,1,2,13,299,5,2,,,,
FLC,1,2,13,299,6,2,,,,
FLC,1,2,13,300a,1,2,,,,
FLC,1,2,13,300a,2,2,,,,
FLC,1,2,13,300b,3,2,,,,
FLC,1,2,13,300b,4,2,,,,
FLC,1,2,13,300b,5,2,,,,
FLC,1,2,14,319,1,2,,,,
FLC,1,2,14,320,2,2,,,,
FLC,1,2,14,320,3,2,,,,
FLC,1,2,14,320,4,2,,,,
FLC,1,2,14,323,1,2,,,,
FLC,1,2,14,323,2,2,,,,
FLC,1,2,14,323,3,2,,,,
FLC,1,2,14,323,4,2,,,,
FLC,1,2,14,323,5,2,,,,
FLC,1,2,14,324a,1,2,,,,
FLC,1,2,14,324a,2,2,,,,
FLC,1,2,14,324b,3,2,,,,
FLC,1,2,14,324b,4,2,,,,
FLC,1,2,14,324b,5,2,,,,
FLC,1,2,,324c,1,2,,,,
FLC,1,2,,324c,2,2,,,,
FLC,1,2,,324c,3,2,,,,
FLC,1,2,,324c,4,2,,,,
FLC,1,2,,324d,5,2,,,,
FLC,1,2,,324d,6,2,,,,
FLC,1,2,,324d,7,2,,,,
FLC,1,2,,324d,8,2,,,,
FLC,1,2,,324e,9,3,,,,
FLC,1,2,15,343,1,2,,,,
FLC,1,2,15,343,2,2,,,,
FLC,1,2,15,344,3,2,,,,
FLC,1,2,15,344,4,2,,,,
FLC,1,2,15,344,5,2,,,,
FLC,1,2,15,347,1,2,,,,
FLC,1,2,15,347,2,2,,,,
FLC,1,2,15,347,3,2,,,,
FLC,1,2,15,347,4,2,,,,
FLC,1,2,15,348,5,2,,,,
FLC,1,2,15,348,6,2,,,,
FLC,1,2,15,347,1,2,,,,
FLC,1,2,15,347,2,2,,,,
FLC,1,2,15,347,3,2,,,,
FLC,1,2,15,347,4,2,,,,
FLC,1,2,15,348,5,2,,,,
FLC,1,2,15,348,6,2,,,,
FLC,1,2,15,348a,1,2,,,,
FLC,1,2,15,348a,2,2,,,,
FLC,1,2,15,348b,3,2,,,,
FLC,1,2,15,348b,4,2,,,,
FLC,1,2,15,348b,5,2,,,,
FLC,1,2,16,367,1,2,,,,
FLC,1,2,16,368,2,2,,,,
FLC,1,2,16,368,3,2,,,,
FLC,1,2,16,368,4,2,,,,
FLC,1,2,16,371,1,2,,,,
FLC,1,2,16,371,2,2,,,,
FLC,1,2,16,371,3,2,,,,
FLC,1,2,16,371,4,2,,,,
FLC,1,2,16,371,5,2,,,,
FLC,1,2,16,372,6,2,,,,
FLC,1,2,16,372,7,2,,,,
FLC,1,2,16,372a,1,2,,,,
FLC,1,2,16,372a,2,2,,,,
FLC,1,2,16,372b,3,2,,,,
FLC,1,2,16,372b,4,2,,,,
FLC,1,2,16,372b,5,2,,,,
FLC,1,2,17,391,1,2,,,,
FLC,1,2,17,392,2,2,,,,
FLC,1,2,17,392,3,2,,,,
FLC,1,2,17,392,4,2,,,,
FLC,1,2,17,395,1,2,,,,
FLC,1,2,17,395,2,2,,,,
FLC,1,2,17,395,3,2,,,,
FLC,1,2,17,395,4,2,,,,
FLC,1,2,17,395,5,2,,,,
FLC,1,2,17,396a,1,2,,,,
FLC,1,2,17,396a,2,2,,,,
FLC,1,2,17,396b,3,2,,,,
FLC,1,2,17,396b,4,2,,,,
FLC,1,2,17,396b,5,2,,,,
FLC,1,2,18,416,2,3,,,,
FLC,1,2,18,416,3,3,,,,
FLC,1,2,18,416,4,3,,,,
FLC,1,2,18,419,1,2,,,,
FLC,1,2,18,419,2,2,,,,
FLC,1,2,18,419,3,3,,,,
FLC,1,2,18,419,4,3,,,,
FLC,1,2,18,420a,1,2,,,,
FLC,1,2,18,420a,2,2,,,,
FLC,1,2,18,420b,3,3,,,,
FLC,1,2,18,420b,4,3,,,,
FLC,1,2,,422,1,2,,,,
FLC,1,2,,422,2,2,,,,
FLC,1,2,,422,3,2,,,,
FLC,1,2,,422,4,2,,,,
FLC,1,2,,423,5,2,,,,
FLC,1,2,,423,6,2,,,,
FLC,1,2,,423,7,2,,,,
FLC,1,2,,423,8,3,,,,
FLC,1,2,,424b,1,3,,,,
FLC,1,2,,424b,2,2,,,,
FLC,1,2,,424b,3,2,,,,
FLC,1,2,,424c,4,2,,,,
FLC,1,2,,424c,5,2,,,,
FLC,1,2,,424c,6,2,,,,
FLC,1,2,,424c,7,2,,,,
FLC,1,2,,424d,8,2,,,,
FLC,1,2,,424d,9,3,,,,
FLC,1,2,,424d,10,2,,,,
FLC,1,2,,424d,11,3,,,,
FLC,1,3,19,446a,1,2,,,,
FLC,1,3,19,446a,2,2,,,,
FLC,1,3,19,446b,3,3,,,,
FLC,1,3,19,446b,4,2,,,,
FLC,1,3,19,446b,5,2,,,,
FLC,1,3,20,465,1,1,,,,
FLC,1,3,20,466,2,1,,,,
FLC,1,3,20,466,3,1,,,,
FLC,1,3,20,469,1,1,,,,
FLC,1,3,20,469,2,1,,,,
FLC,1,3,20,469,3,1,,,,
FLC,1,3,20,469,4,1,,,,
FLC,1,3,20,469,5,1,,,,
FLC,1,3,20,469,6,1,,,,
FLC,1,3,20,469,7,1,,,,
FLC,1,3,20,469,8,1,,,,
FLC,1,3,20,470,9,1,,,,
FLC,1,3,20,470,10,1,,,,
FLC,1,3,20,470,11,1,,,,
FLC,1,3,20,470a,1,1,,,,
FLC,1,3,20,470a,2,1,,,,
FLC,1,3,20,470b,3,2,,,,
FLC,1,3,20,470b,4,1,,,,
FLC,1,3,20,470b,5,1,,,,
FLC,1,3,21,486a,1,3,,,,
FLC,1,3,21,486a,2,2,,,,
FLC,1,3,21,486b,3,2,,,,
FLC,1,3,21,486b,4,3,,,,
FLC,1,3,22,505,1,2,,,,
FLC,1,3,22,505,2,2,,,,
FLC,1,3,22,506,3,2,,,,
FLC,1,3,22,506,4,2,,,,
FLC,1,3,22,506,5,2,,,,
FLC,1,3,22,509,1,2,,,,
FLC,1,3,22,509,2,2,,,,
FLC,1,3,22,509,3,2,,,,
FLC,1,3,22,509,4,2,,,,
FLC,1,3,22,509,5,2,,,,
FLC,1,3,22,509,6,2,,,,
FLC,1,3,22,510a,1,2,,,,
FLC,1,3,22,510a,2,2,,,,
FLC,1,3,22,510b,3,2,,,,
FLC,1,3,22,510b,4,2,,,,
FLC,1,3,22,510b,5,2,,,,
FLC,1,3,,510c,1,3,,,,
FLC,1,3,,510c,2,2,,,,
FLC,1,3,,510c,3,2,,,,
FLC,1,3,,510c,4,2,,,,
FLC,1,3,,510d,5,2,,,,
FLC,1,3,,510d,6,2,,,,
FLC,1,3,,510d,7,2,,,,
FLC,1,3,,510d,8,2,,,,
FLC,1,3,,510e,9,3,,,,
FLC,1,3,23,529,1,1,,,,
FLC,1,3,23,529,2,1,,,,
FLC,1,3,23,530,3,1,,,,
FLC,1,3,23,530,4,1,,,,
FLC,1,3,23,530,5,2,,,,
FLC,1,3,23,533,1,1,,,,
FLC,1,3,23,533,2,1,,,,
FLC,1,3,23,533,3,1,,,,
FLC,1,3,23,533,4,1,,,,
FLC,1,3,23,533,5,1,,,,
FLC,1,3,23,533,6,2,,,,
FLC,1,3,23,534a,1,1,,,,
FLC,1,3,23,534a,2,1,,,,
FLC,1,3,23,534b,3,1,,,,
FLC,1,3,23,534b,4,1,,,,
FLC,1,3,23,534b,5,2,,,,
FLC,1,3,24,553,1,2,,,,
FLC,1,3,24,554,2,2,,,,
FLC,1,3,24,554,3,2,,,,
FLC,1,3,24,554,4,1,,,,
FLC,1,3,24,557,1,2,,,,
FLC,1,3,24,557,2,2,,,,
FLC,1,3,24,557,3,2,,,,
FLC,1,3,24,557,4,2,,,,
FLC,1,3,24,557,5,1,,,,
FLC,1,3,24,557,6,1,,,,
FLC,1,3,24,558a,1,1,,,,
FLC,1,3,24,558a,2,2,,,,
FLC,1,3,24,558b,3,2,,,,
FLC,1,3,24,558b,4,2,,,,
FLC,1,3,24,558b,5,2,,,,
FLC,1,3,,560,1,2,,,,
FLC,1,3,,560,2,1,,,,
FLC,1,3,,560,3,2,,,,
FLC,1,3,,560,4,2,,,,
FLC,1,3,,561,5,1,,,,
FLC,1,3,,561,6,1,,,,
FLC,1,3,,561,7,2,,,,
FLC,1,3,,562b,1,2,,,,
FLC,1,3,,562b,2,1,,,,
FLC,1,3,,562b,3,2,,,,
FLC,1,3,,562b,4,3,,,,
FLC,1,3,,562c,5,2,,,,
FLC,1,3,,562c,6,1,,,,
FLC,1,3,,562c,7,2,,,,
FLC,1,3,,562c,8,2,,,,
FLC,1,3,,562c,9,2,,,,
FLC,1,3,,562d,10,1,,,,
FLC,1,3,,562d,11,3,,,,
FLC,1,4,25,589,1,2,,,,
FLC,1,4,25,589,2,2,,,,
FLC,1,4,25,590,3,2,,,,
FLC,1,4,25,590,4,2,,,,
FLC,1,4,25,590,5,2,,,,
FLC,1,4,25,593,1,2,,,,
FLC,1,4,25,593,2,2,,,,
FLC,1,4,25,593,3,2,,,,
FLC,1,4,25,593,4,2,,,,
FLC,1,4,25,593,5,2,,,,
FLC,1,4,25,593,6,2,,,,
FLC,1,4,25,594a,1,2,,,,
FLC,1,4,25,594a,2,2,,,,
FLC,1,4,25,594b,3,2,,,,
FLC,1,4,25,594b,4,2,,,,
FLC,1,4,25,594b,5,2,,,,
FLC,1,4,26,610a,1,1,,,,
FLC,1,4,26,610a,2,1,,,,
FLC,1,4,26,610b,3,2,,,,
FLC,1,4,26,610b,4,2,,,,
FLC,1,4,26,610b,5,2,,,,
FLC,1,4,27,629,1,2,,,,
FLC,1,4,27,630,2,2,,,,
FLC,1,4,27,630,3,2,,,,
FLC,1,4,27,630,4,2,,,,
FLC,1,4,27,633,1,1,,,,
FLC,1,4,27,633,2,2,,,,
FLC,1,4,27,633,3,2,,,,
FLC,1,4,27,633,4,2,,,,
FLC,1,4,27,633,5,2,,,,
FLC,1,4,27,633,6,2,,,,
FLC,1,4,27,634a,1,1,,,,
FLC,1,4,27,634a,2,2,,,,
FLC,1,4,27,634b,3,2,,,,
FLC,1,4,27,634b,4,2,,,,
FLC,1,4,27,634b,5,2,,,,
